Ingrid,Skull Splitter,Orkney,95
Ingrid,Atwater Vanilla Java Porter,Atwater Block Brewery,31
Ingrid,Stone Oaked Arrogant Bastard Ale,Stone Brewing Company,99
Ingrid,Bear Republic Red Rocket Ale,Bear Republic Brewing Company,98
Matt,Left Hand Milk Stout,Left Hand Brewing Company,96
Matt,Raison D'Etre,Dogfish Head,96
Matt,Samuel Adams Imperial Series Imperial Stout,Boston Beer Company,95
Matt,Dead Guy Ale,Rogue Ales,93
Steve,India Pale Ale,Avery,96
Steve,Tank 7 Farmhouse Ale,Boulevard Brewing Company,99
Steve,Burton Baton,Dogfish Head,99
Steve,Heavy Seas Loose Cannon Hop3,Heavy Seas Brewing Company,98
Steve,Mocha Porter,Rogue Ales,96
Steve,Samuel Adams Latitude 48 IPA,Boston Beer Company,84
Adam,Saison du BUFF,Dogfish Head,97
Adam,Victory Storm King Imperial Stout,Victory Brewing Company,100
Adam,Immort Ale,Dogfish Head,99
Adam,Oskar Blues Ten FIDY,Oskar Blues Grill & Brew,100
Emily,Toasted Lager,Blue Point Brewing Company,63
Emily,Magic Hat Howl,Magic Hat Brewing Company,73
Emily,Harpoon Grateful Harvest,Harpoon Brewery,41
Emily,Smuttynose Pumpkin Ale,Smuttynose Brewing Company,73
Shawn,Dirty Bastard,Founders Brewing Company,98
Shawn,Tröegs Dead Reckoning Porter,Tröegs Brewing Company,96
Shawn,Tröegs Dream Weaver Wheat,Tröegs Brewing Company,85
Shawn,Victory HopDevil,Victory Brewing Company,99
Andy,Lobster Ale,Belfast Bay,45
Andy,Slick Nick Winter Ale,Sebago Brewing Company,47
Andy,Magic Hat Howl,Magic Hat Brewing Company,73
Andy,Wachusett Nut Brown Ale,Wachusett Brewing,57
Andy,Franziskaner Weissbier (Kristall Klar),Spaten-Franziskaner-Bräu (InBev),62
Perry,Full Sail Pale Ale,Full Sail Brewing Company,77
Perry,Anchor Steam Beer,Anchor Brewing Company,82
Perry,Anchor Christmas Ale 2011,Anchor Brewing Company,96
Chris,Weyerbacher Merry Monks Ale,Weyerbacher Brewing Company,88
Marc,Yuengling Traditional Lager,Yuengling Brewery,30
Tim,Nashoba Valley Heron Ale,Nashoba Valley Winery,28
Tim,Nashoba Valley Bolt 117 Lager,Nashoba Valley Winery,28
